year,selling_price,km_driven,fuel,transmission,owner,engine,max_power
2017.0,500000.0,80000.0,1,2,0,1498.0,108.62
2016.0,745000.0,70000.0,1,2,0,1248.0,88.5
2011.0,235000.0,60000.0,2,2,1,1197.0,78.9
2016.0,630000.0,70000.0,1,2,0,1248.0,74.0
2013.0,450000.0,120000.0,1,2,1,1248.0,74.0
2012.0,450000.0,120000.0,2,2,1,1373.0,93.7
2013.0,450000.0,170000.0,1,2,0,1598.0,103.6
2015.0,610000.0,90000.0,1,2,0,1498.0,98.59
2017.0,484999.0,10000.0,2,2,0,998.0,67.04
2016.0,275000.0,49000.0,2,2,0,1198.0,67.05
2016.0,315000.0,32000.0,2,2,0,796.0,47.3
2016.0,275000.0,38000.0,2,2,0,796.0,47.3
2015.0,475000.0,78000.0,1,2,0,1456.1100978059742,91.76934024567429
2012.0,290000.0,28000.0,2,2,0,1086.0,68.05
2017.0,280000.0,32000.0,2,2,0,796.0,35.0
2010.0,225000.0,44000.0,4,2,0,998.0,58.2
2015.0,455000.0,42000.0,2,2,0,1198.0,74.0
2015.0,351000.0,45000.0,2,2,1,1086.0,68.05
2012.0,535000.0,12000.0,2,2,1,1598.0,103.6
2009.0,175000.0,55500.0,2,2,0,998.0,67.1
2013.0,525000.0,61500.0,2,2,0,1197.0,82.85
2016.0,600000.0,150000.0,1,2,0,1248.0,74.0
2016.0,565000.0,72000.0,2,1,0,1197.0,82.0
2008.0,120000.0,68000.0,2,2,2,796.0,46.3
2017.0,725000.0,110000.0,1,2,0,1396.0,88.73
2009.0,185000.0,77000.0,2,2,1,998.0,67.05
2010.0,200000.0,100000.0,1,2,1,1248.0,90.0
2019.0,615000.0,10000.0,2,2,0,1197.0,81.8
2016.0,270000.0,100000.0,2,2,2,1196.0,73.0
2018.0,610000.0,35000.0,2,2,0,1197.0,83.1
2014.0,625000.0,70000.0,1,1,1,2179.0,120.0
2020.0,400000.0,5000.0,2,2,1,1194.0,94.68
2017.0,866000.0,37800.0,2,2,0,1591.0,121.3
2010.0,300000.0,48000.0,2,2,0,1172.0,65.0
2016.0,375000.0,100000.0,1,2,0,1405.0,69.01
2013.0,522000.0,150000.0,1,2,1,1582.0,126.32
2013.0,451999.0,69000.0,1,2,0,1396.0,88.76
2009.0,300000.0,100000.0,2,2,1,1798.0,138.1
2020.0,475000.0,13000.0,2,2,0,998.0,67.04
2016.0,780000.0,60000.0,1,2,0,1248.0,88.5
2017.0,595000.0,40000.0,2,2,0,1197.0,83.14
2017.0,440000.0,35000.0,2,2,0,998.0,67.04
2010.0,300000.0,120000.0,1,2,1,1456.1100978059742,91.76934024567429
2014.0,400000.0,70000.0,1,2,2,1461.0,83.8
2017.0,850000.0,76139.0,1,2,0,1498.0,98.96
2012.0,370000.0,175000.0,1,2,2,1248.0,73.9
2018.0,350000.0,25000.0,2,2,0,999.0,67.0
2015.0,360000.0,40000.0,2,2,1,998.0,67.04
2008.0,105000.0,65000.0,2,2,2,796.0,46.3
2013.0,625000.0,90000.0,1,2,1,1248.0,88.76
2009.0,135000.0,80000.0,2,2,1,1086.0,62.1
2015.0,700000.0,110000.0,1,2,1,1248.0,88.76
2019.0,690000.0,1303.0,2,2,0,1198.0,86.7
2017.0,795000.0,41000.0,2,1,0,1497.0,117.6
2013.0,625000.0,39000.0,2,1,0,1798.0,138.03
2015.0,535000.0,40000.0,1,2,0,1248.0,88.5
2016.0,805000.0,49900.0,2,2,0,1797.0,147.5
2018.0,811000.0,11000.0,2,2,0,1198.0,108.5
2011.0,375000.0,49000.0,2,2,0,1598.0,103.6
2012.0,550000.0,95000.0,2,2,0,1797.0,147.5
2016.0,645000.0,11000.0,2,1,0,1598.0,103.5
2014.0,599000.0,46100.0,2,2,0,1373.0,93.7
2017.0,875000.0,18000.0,2,1,0,1497.0,116.3
2019.0,894999.0,9654.0,2,1,0,1197.0,81.8
2011.0,175000.0,11000.0,2,2,0,998.0,67.05
2012.0,340000.0,24300.0,2,2,0,1197.0,81.8
2018.0,1025000.0,8000.0,1,1,0,1497.0,108.5
2016.0,850000.0,20000.0,2,2,0,1373.0,91.1
2011.0,300000.0,100000.0,1,2,1,1598.0,103.6
2018.0,575000.0,9500.0,2,2,0,1196.0,86.8
2011.0,160000.0,120000.0,1,2,0,1399.0,68.0
2015.0,515000.0,36600.0,2,2,0,1197.0,81.8
2015.0,390000.0,50000.0,2,1,1,998.0,67.0
2016.0,550000.0,14000.0,2,2,1,1197.0,81.83
2010.0,220000.0,120000.0,1,2,0,1248.0,73.9
2015.0,425000.0,70000.0,2,2,0,1197.0,82.0
2019.0,480000.0,13000.0,2,2,0,999.0,75.0
2014.0,400000.0,60000.0,2,2,1,1197.0,82.0
2014.0,487000.0,35000.0,2,2,0,1197.0,85.8
2016.0,386000.0,44000.0,2,2,1,1197.0,82.0
2010.0,300000.0,60000.0,1,2,0,1364.0,87.2
2016.0,450000.0,15000.0,2,2,1,1198.0,82.0
2017.0,490000.0,90000.0,1,2,0,1248.0,74.0
2009.0,345000.0,47000.0,2,2,1,1497.0,118.0
2010.0,215000.0,120600.0,2,2,1,998.0,67.1
2010.0,320000.0,100000.0,2,2,2,1599.0,103.2
2016.0,459999.0,60000.0,2,2,1,1197.0,83.14
2020.0,720000.0,5000.0,2,2,0,1197.0,81.86
2017.0,800000.0,37000.0,1,2,0,1248.0,88.5
2019.0,520000.0,14000.0,2,2,0,1199.0,84.0
2015.0,580000.0,70000.0,1,2,0,1248.0,88.76
2012.0,235000.0,120000.0,1,2,0,1456.1100978059742,91.76934024567429
2015.0,600000.0,50000.0,2,2,0,1497.0,117.3
2014.0,290000.0,60000.0,2,2,1,1198.0,86.8
2016.0,360000.0,50000.0,3,2,0,998.0,58.16
2017.0,550000.0,50000.0,2,2,0,1197.0,83.14
2013.0,375000.0,70000.0,2,2,0,1197.0,82.85
2018.0,420000.0,35000.0,2,1,0,998.0,67.0
2017.0,550000.0,20000.0,2,2,0,1197.0,81.8
2018.0,270000.0,20000.0,2,2,0,796.0,47.3
2018.0,700000.0,7800.0,2,1,0,1197.0,81.8
2017.0,500000.0,20000.0,2,2,0,1197.0,81.8
2013.0,320000.0,31377.0,2,2,1,1197.0,82.85
2018.0,700000.0,50000.0,1,2,0,1248.0,74.02
2015.0,290000.0,60000.0,2,2,0,998.0,67.04
2012.0,550000.0,100000.0,2,1,0,1794.0,138.1
2012.0,265000.0,60000.0,2,2,0,1198.0,86.8
2018.0,830000.0,5000.0,2,1,0,1197.0,83.1
2017.0,800000.0,60000.0,1,2,0,2179.0,147.94
2011.0,160000.0,25000.0,2,2,1,796.0,46.3
2018.0,335000.0,30000.0,2,2,0,799.0,53.3
2017.0,329000.0,80000.0,2,2,1,1198.0,67.0
2017.0,775000.0,75000.0,1,2,0,1248.0,88.5
2020.0,524000.0,32000.0,2,2,0,1197.0,81.86
2015.0,245000.0,40000.0,2,2,0,796.0,47.3
2018.0,520000.0,60000.0,2,2,0,1193.0,88.7
2008.0,130000.0,120000.0,2,2,1,1456.1100978059742,91.76934024567429
2014.0,550000.0,37000.0,2,2,0,1498.0,97.7
2018.0,910000.0,15000.0,2,2,0,1497.0,121.36
2015.0,300000.0,80000.0,2,2,0,1198.0,67.04
2016.0,350000.0,140000.0,2,2,0,998.0,67.04
2013.0,300000.0,120000.0,1,2,1,1493.0,100.0
2010.0,250000.0,110000.0,1,2,1,1248.0,73.9
2017.0,1100000.0,37000.0,1,2,0,1582.0,126.2
2016.0,270000.0,44000.0,2,2,0,799.0,53.3
2015.0,640000.0,80000.0,1,2,0,1248.0,88.76
2015.0,650000.0,125000.0,1,2,0,2179.0,140.0
2017.0,409999.0,13500.0,2,2,0,1196.0,73.0
2011.0,165000.0,75000.0,2,2,0,1086.0,62.1
2012.0,535000.0,120000.0,1,2,0,2179.0,140.0
2013.0,700000.0,70000.0,1,2,0,2494.0,100.57
2013.0,550000.0,70000.0,1,2,0,1248.0,74.0
2019.0,680000.0,15000.0,2,1,0,1199.0,88.76
2009.0,200000.0,53000.0,2,2,1,1197.0,78.9
2014.0,500000.0,120000.0,1,2,1,1248.0,74.0
2016.0,1000000.0,70000.0,1,2,0,1248.0,88.5
2015.0,350000.0,100000.0,2,2,0,1197.0,83.11
2013.0,170000.0,162500.0,1,2,0,1405.0,70.0
2017.0,800000.0,39000.0,1,2,0,1396.0,88.73
2017.0,500000.0,75000.0,1,2,0,1248.0,74.0
2013.0,530000.0,92500.0,1,2,0,1582.0,126.3
2012.0,360000.0,158000.0,1,2,0,1248.0,74.0
2012.0,310000.0,120000.0,1,2,0,1248.0,73.9
2015.0,725000.0,50000.0,1,2,1,1498.0,98.6
2012.0,340000.0,110000.0,1,2,0,1248.0,73.9
2017.0,550000.0,2000.0,1,2,1,1186.0,73.97
2016.0,380000.0,70000.0,1,2,0,1047.0,69.0
2013.0,350000.0,90000.0,2,1,1,1498.0,99.6
2019.0,610000.0,2000.0,2,2,0,1197.0,81.86
2015.0,525000.0,20000.0,2,2,0,1197.0,83.14
2011.0,480000.0,120000.0,1,2,0,2494.0,102.0
2017.0,780000.0,35000.0,1,2,0,2498.0,105.0
2012.0,320000.0,193000.0,1,2,0,1248.0,73.9
2014.0,375000.0,80000.0,2,2,0,1197.0,81.8
2019.0,300000.0,40000.0,2,2,0,1198.0,67.05
2015.0,500000.0,70000.0,1,2,2,1396.0,88.73
2011.0,404000.0,122358.0,1,2,0,2179.0,120.0
2015.0,500000.0,75000.0,1,2,0,2956.0,69.01
2017.0,350000.0,120000.0,1,2,0,1047.0,69.0
2015.0,380000.0,40000.0,2,2,0,1193.0,88.7
2014.0,335000.0,33033.0,2,2,0,1198.0,86.8
2015.0,465000.0,63063.0,2,1,0,1197.0,82.0
2012.0,290000.0,60000.0,1,2,0,1248.0,88.76
2011.0,450000.0,80000.0,1,2,2,2179.0,138.1
2016.0,220000.0,35000.0,2,2,0,796.0,34.2
2017.0,450000.0,35000.0,2,2,0,1197.0,82.0
2017.0,450000.0,35000.0,2,2,0,1197.0,82.0
2013.0,290000.0,50000.0,2,1,0,1197.0,78.9
2016.0,520000.0,20000.0,2,2,0,1197.0,81.8
2011.0,265000.0,20000.0,2,1,0,1197.0,78.9
2012.0,330000.0,50000.0,2,2,1,1197.0,85.8
2012.0,330000.0,50000.0,2,2,1,1197.0,85.8
2014.0,509999.0,120000.0,1,2,0,2523.0,62.1
2014.0,500000.0,70000.0,2,2,0,1591.0,121.3
2015.0,525000.0,50000.0,2,2,0,1197.0,81.86
2019.0,675000.0,16500.0,2,2,0,1197.0,81.8
2017.0,650000.0,25000.0,1,2,0,1248.0,74.0
2014.0,409000.0,70000.0,2,2,1,1197.0,85.8
2015.0,395000.0,80000.0,1,2,1,1120.0,70.0
2010.0,215000.0,70000.0,2,2,1,1456.1100978059742,91.76934024567429
2014.0,400000.0,70000.0,2,2,1,1197.0,85.8
2012.0,120000.0,60000.0,2,2,2,1199.0,79.4
2018.0,645000.0,10000.0,2,1,0,1199.0,84.0
2006.0,81000.0,80000.0,2,2,0,796.0,37.0
2013.0,535000.0,90000.0,2,2,2,1373.0,93.7
2014.0,555000.0,80100.0,1,2,1,1461.0,108.5
2014.0,725000.0,120000.0,2,2,0,1497.0,117.3
2016.0,229999.0,40000.0,2,2,0,799.0,53.3
2013.0,800000.0,160000.0,1,2,1,2494.0,100.6
2017.0,409999.0,47000.0,2,2,0,998.0,67.04
2017.0,400000.0,26000.0,2,2,0,1199.0,84.0
2018.0,520000.0,29000.0,1,2,0,1186.0,73.97
2016.0,650000.0,50000.0,2,1,0,1197.0,83.1
2012.0,420000.0,120000.0,2,1,0,1197.0,85.8
2014.0,400000.0,50000.0,2,2,0,1197.0,81.8
2017.0,351000.0,36000.0,2,2,0,998.0,67.04
2011.0,185000.0,185000.0,1,2,2,1248.0,73.9
2011.0,250000.0,50000.0,1,2,0,1461.0,63.1
2013.0,500000.0,50000.0,2,2,1,1591.0,121.3
2007.0,85000.0,80000.0,2,2,1,998.0,67.1
2011.0,265000.0,90000.0,1,2,2,1248.0,73.9
2010.0,130000.0,162000.0,2,2,1,998.0,66.1
2013.0,480000.0,110000.0,1,2,2,1248.0,88.76
2008.0,170000.0,120000.0,1,2,2,1248.0,75.0
2011.0,275000.0,45000.0,1,2,0,1461.0,63.1
2010.0,170000.0,90000.0,1,2,1,1399.0,68.0
2019.0,1090000.0,16500.0,2,2,0,1197.0,110.0
2017.0,1100000.0,67000.0,1,1,0,1582.0,126.2
2018.0,610000.0,52000.0,2,2,0,1197.0,81.8
2016.0,335000.0,40000.0,2,2,0,1198.0,67.0
2015.0,434999.0,40000.0,2,2,0,1197.0,82.0
2018.0,390000.0,13000.0,2,2,0,799.0,53.26
2012.0,325000.0,40000.0,2,2,0,1198.0,86.8
2019.0,640000.0,10000.0,2,2,0,1198.0,73.75
2012.0,450000.0,9000.0,2,2,0,1498.0,97.7
2013.0,400000.0,70000.0,1,2,1,1364.0,67.06
2009.0,215000.0,60000.0,2,2,0,1197.0,78.9
2014.0,570000.0,40000.0,1,2,0,1461.0,83.8
2008.0,325000.0,80000.0,1,2,2,2494.0,102.0
2011.0,150000.0,50000.0,2,2,1,1193.0,64.08
2013.0,690000.0,68000.0,2,1,0,1797.0,147.5
2012.0,64000.0,18000.0,2,2,0,624.0,37.5
2013.0,250000.0,120000.0,1,2,0,1461.0,63.1
2016.0,550000.0,60000.0,1,2,1,1248.0,74.0
2010.0,140000.0,70000.0,2,2,2,1197.0,78.9
2016.0,300000.0,30000.0,2,2,0,799.0,53.3
2016.0,800000.0,70000.0,2,1,0,1798.0,189.3
2015.0,503000.0,110000.0,1,2,0,2179.0,147.94
2013.0,225000.0,58343.0,2,2,0,998.0,67.05
2018.0,740000.0,38817.0,1,2,0,1248.0,74.0
2016.0,550000.0,56494.0,2,2,0,1199.0,88.7
2013.0,750000.0,79328.0,1,2,1,2494.0,100.6
2019.0,650000.0,5621.0,2,1,0,1197.0,81.8
2017.0,625000.0,25538.0,2,2,0,1496.0,88.73
2018.0,600000.0,69779.0,2,1,0,1197.0,81.8
2017.0,450000.0,56290.0,1,2,0,1186.0,73.97
2019.0,779000.0,7032.0,2,1,0,1199.0,88.76
2016.0,645000.0,11000.0,2,1,0,1598.0,103.5
2010.0,150000.0,106000.0,2,2,2,1197.0,78.9
2012.0,265000.0,162000.0,1,2,2,1456.1100978059742,91.76934024567429
2015.0,480000.0,90000.0,1,2,0,1248.0,74.0
2014.0,535000.0,70000.0,1,2,2,1582.0,126.32
2012.0,300000.0,100000.0,1,2,1,1248.0,88.8
2016.0,240000.0,50000.0,2,2,0,796.0,47.3
2017.0,750000.0,19000.0,1,1,0,1248.0,74.02
2020.0,409999.0,35000.0,3,2,0,1196.0,61.7
2014.0,215000.0,80000.0,2,2,1,998.0,67.05
2010.0,150000.0,80000.0,2,2,0,998.0,67.1
2013.0,219000.0,50000.0,2,2,1,814.0,55.2
2018.0,325000.0,100000.0,2,2,0,1199.0,84.0
2013.0,260000.0,120000.0,2,2,1,1196.0,73.0
2015.0,503000.0,110000.0,1,2,0,2179.0,147.94
2013.0,225000.0,58343.0,2,2,0,998.0,67.05
2018.0,740000.0,38817.0,1,2,0,1248.0,74.0
2016.0,550000.0,56494.0,2,2,0,1199.0,88.7
2013.0,750000.0,79328.0,1,2,1,2494.0,100.6
2019.0,650000.0,5621.0,2,1,0,1197.0,81.8
2017.0,625000.0,25538.0,2,2,0,1496.0,88.73
2018.0,600000.0,69779.0,2,1,0,1197.0,81.8
2017.0,450000.0,56290.0,1,2,0,1186.0,73.97
2019.0,779000.0,7032.0,2,1,0,1199.0,88.76
2016.0,645000.0,11000.0,2,1,0,1598.0,103.5
2019.0,700000.0,40000.0,1,1,0,1498.0,78.9
2017.0,950000.0,45000.0,1,2,0,1396.0,88.7
2010.0,160000.0,80000.0,2,2,1,796.0,46.3
2015.0,409999.0,135000.0,1,2,1,1120.0,71.01
2015.0,840000.0,120000.0,1,2,1,2494.0,100.6
2013.0,450000.0,67000.0,1,2,0,1364.0,67.1
2017.0,900000.0,50000.0,1,2,0,1248.0,74.02
2011.0,254999.0,110000.0,1,2,1,1461.0,63.1
2009.0,130000.0,40000.0,2,2,0,796.0,37.0
2013.0,530000.0,120000.0,1,2,1,1248.0,74.0
2015.0,520000.0,110000.0,1,2,1,1498.0,88.8
2011.0,229999.0,170000.0,1,2,1,1461.0,64.1
2016.0,600000.0,47000.0,1,2,0,1248.0,74.0
2015.0,409999.0,93000.0,2,2,0,1197.0,81.86
2010.0,120000.0,70000.0,2,2,1,796.0,37.0
2014.0,320000.0,50000.0,2,2,0,998.0,67.04
2015.0,292000.0,70000.0,1,2,0,1399.0,68.05
2012.0,390000.0,80000.0,1,2,0,2179.0,138.03
2016.0,550000.0,44000.0,2,2,0,1196.0,86.8
2014.0,385000.0,25000.0,2,2,0,998.0,67.04
2016.0,800000.0,25000.0,2,2,0,1591.0,121.3
2019.0,675000.0,10000.0,2,2,0,1197.0,81.8
2018.0,950000.0,30000.0,1,2,0,1498.0,98.96
2015.0,610000.0,50000.0,1,2,1,1396.0,88.73
2012.0,525000.0,120000.0,1,2,0,1396.0,88.73
2019.0,700000.0,40000.0,1,1,0,1498.0,78.9
2015.0,375000.0,80000.0,1,2,0,2523.0,62.1
2015.0,580000.0,90000.0,1,2,0,1461.0,83.8
2015.0,434999.0,50000.0,2,2,1,1197.0,83.11
2020.0,350000.0,2136.0,2,2,0,999.0,67.0
2015.0,600000.0,35000.0,2,2,0,1197.0,81.83
2017.0,735000.0,70000.0,1,2,0,1248.0,74.0
2018.0,1050000.0,18000.0,1,2,0,1461.0,108.45
2016.0,420000.0,110000.0,1,2,1,1248.0,73.74
2017.0,800000.0,60000.0,1,2,0,1248.0,88.5
2016.0,600000.0,147000.0,1,2,1,1248.0,74.0
2011.0,500000.0,99500.0,1,2,2,1991.0,147.9
2011.0,200000.0,110000.0,1,2,1,1405.0,71.0
2016.0,370000.0,35000.0,2,2,0,1198.0,67.04
2010.0,260000.0,110000.0,1,2,1,1493.0,110.0
2016.0,280000.0,100000.0,1,2,0,1198.0,77.0
2014.0,610000.0,21000.0,2,2,0,1373.0,93.7
2013.0,300000.0,60000.0,1,2,1,1498.0,90.0
2008.0,229999.0,50000.0,2,2,0,1086.0,68.05
2010.0,200000.0,65000.0,2,2,1,998.0,66.1
2011.0,200000.0,80000.0,2,2,0,998.0,67.1
2015.0,560000.0,119000.0,1,2,0,1582.0,126.2
2016.0,750000.0,80000.0,1,2,0,1248.0,88.5
2017.0,585000.0,90000.0,1,2,0,1248.0,74.0
2016.0,760000.0,20000.0,2,2,0,1591.0,121.4
2014.0,430000.0,80000.0,1,2,1,1248.0,74.0
2020.0,480000.0,44665.0,1,2,0,1198.0,77.0
2019.0,643000.0,10000.0,1,2,0,1493.0,113.4
2018.0,500000.0,60000.0,2,2,0,1197.0,81.86
2016.0,425000.0,22000.0,2,2,0,1198.0,86.8
2014.0,250000.0,25000.0,2,2,0,796.0,47.3
2016.0,285000.0,70000.0,1,2,0,793.0,47.0
2008.0,160000.0,123000.0,2,2,2,1298.0,85.8
2011.0,250000.0,70000.0,1,2,1,1598.0,103.6
2013.0,170000.0,70000.0,2,2,1,1199.0,79.4
2013.0,409999.0,45000.0,1,2,0,1364.0,67.06
2015.0,400000.0,40000.0,2,1,0,1197.0,82.0
2019.0,700000.0,30000.0,1,2,0,1248.0,74.02
2007.0,350000.0,90000.0,2,1,0,1799.0,130.0
2016.0,660000.0,34000.0,2,2,1,1373.0,91.1
2017.0,268000.0,25000.0,2,2,0,796.0,47.3
2016.0,270000.0,50000.0,2,2,0,796.0,47.3
2013.0,300000.0,50000.0,1,2,0,936.0,57.6
2017.0,450000.0,90000.0,2,2,0,1199.0,84.0
2012.0,220000.0,70000.0,1,2,1,936.0,57.6
2009.0,250000.0,146000.0,1,2,1,2179.0,138.0
2012.0,300000.0,85000.0,2,2,1,1196.0,70.0
2016.0,561000.0,30000.0,1,2,0,1248.0,74.0
2018.0,755000.0,15000.0,1,2,0,1248.0,74.02
2017.0,235000.0,25000.0,2,2,0,799.0,53.64
2011.0,165000.0,90000.0,2,2,0,998.0,67.1
2008.0,190000.0,80000.0,1,2,1,1248.0,73.9
2012.0,320000.0,80000.0,1,2,1,2523.0,63.0
2010.0,330000.0,110000.0,1,2,1,1456.1100978059742,91.76934024567429
2016.0,540000.0,38000.0,2,2,0,1197.0,81.83
2013.0,180000.0,60000.0,2,2,0,814.0,55.2
2016.0,270000.0,100000.0,2,2,2,1196.0,73.0
2012.0,450000.0,30000.0,2,2,0,1197.0,85.8
2014.0,450000.0,30000.0,2,2,0,1197.0,85.8
2015.0,200000.0,50000.0,2,2,0,1199.0,76.8
2017.0,425000.0,42000.0,2,2,0,1199.0,84.0
2016.0,400000.0,30000.0,2,2,0,1199.0,82.4
2009.0,125000.0,60000.0,2,2,2,796.0,46.3
2015.0,900000.0,22000.0,2,2,0,1497.0,117.3
2012.0,450000.0,90000.0,1,2,0,1598.0,103.6
2011.0,210000.0,46000.0,2,2,0,998.0,67.1
2018.0,801000.0,20000.0,2,2,0,1197.0,81.83
2014.0,317000.0,15000.0,1,2,0,1405.0,70.0
2015.0,600000.0,40000.0,2,2,1,1373.0,93.7
2014.0,330000.0,30000.0,2,2,1,1197.0,82.85
2017.0,320000.0,15000.0,2,2,1,814.0,55.2
2010.0,160000.0,50000.0,2,2,0,1456.1100978059742,91.76934024567429
2007.0,120000.0,110000.0,2,2,1,1341.0,83.0
2009.0,130000.0,70000.0,2,2,1,796.0,46.3
2015.0,220000.0,80000.0,2,2,0,1199.0,82.4
2008.0,229999.0,50000.0,1,2,2,1456.1100978059742,91.76934024567429
2015.0,340000.0,110000.0,2,2,0,1193.0,88.7
2013.0,200000.0,70000.0,1,2,1,1399.0,67.0
2010.0,495000.0,100000.0,1,2,1,2523.0,63.0
2015.0,236000.0,60000.0,2,2,0,796.0,47.3
2015.0,390000.0,40000.0,2,2,0,998.0,67.04
2009.0,275000.0,90000.0,1,2,1,1248.0,73.9
2015.0,503000.0,110000.0,1,2,0,2179.0,147.94
2017.0,775000.0,32000.0,1,2,0,1248.0,88.5
2016.0,850000.0,58000.0,1,2,0,1582.0,126.2
2018.0,750000.0,5000.0,1,2,0,1248.0,88.5
2018.0,570000.0,25000.0,2,2,0,1197.0,81.83
2018.0,580000.0,32000.0,2,2,0,1197.0,81.86
2016.0,484999.0,30000.0,2,2,0,1199.0,88.7
2017.0,700000.0,43000.0,2,2,0,1497.0,117.3
2012.0,415000.0,60000.0,2,2,0,1497.0,113.42
2015.0,325000.0,50000.0,2,1,0,1198.0,76.0
2018.0,550000.0,14200.0,2,2,0,1196.0,86.8
2017.0,300000.0,10000.0,2,2,0,814.0,55.2
2018.0,217000.0,25000.0,2,2,0,799.0,53.64
2018.0,700000.0,19100.0,2,2,0,1194.0,94.68
2019.0,466000.0,25000.0,2,1,2,1086.0,68.0
2014.0,484999.0,54000.0,1,2,0,1498.0,98.96
2018.0,670000.0,35000.0,1,2,0,1461.0,84.8
2018.0,500000.0,20000.0,2,2,1,1197.0,81.86
2016.0,675000.0,52000.0,1,2,0,1248.0,88.5
2011.0,220000.0,120000.0,1,2,1,1396.0,90.0
2013.0,630000.0,120000.0,1,2,1,1248.0,88.8
2010.0,250000.0,90000.0,1,2,1,1248.0,90.0
2015.0,300000.0,101500.0,1,2,1,1498.0,103.52
2013.0,525000.0,75000.0,1,1,0,1582.0,126.3
2011.0,204999.0,97500.0,2,2,0,1456.1100978059742,0.0
2011.0,204999.0,97500.0,2,2,0,1456.1100978059742,0.0
2012.0,480000.0,55735.0,1,2,1,1461.0,108.45
2014.0,605000.0,80000.0,1,2,1,2179.0,140.0
2016.0,250000.0,50000.0,2,2,1,796.0,47.3
2013.0,245000.0,70000.0,1,2,1,1399.0,68.1
2012.0,210000.0,76000.0,2,2,2,1197.0,78.9
2020.0,730000.0,1500.0,2,2,0,1197.0,81.8
2012.0,500000.0,76000.0,1,2,0,2523.0,62.1
2015.0,400000.0,40000.0,2,2,0,998.0,67.04
2015.0,280000.0,60000.0,2,2,1,814.0,55.2
2016.0,375000.0,53319.0,1,2,0,936.0,56.3
2017.0,700000.0,40906.0,1,2,0,1498.0,108.62
2012.0,375000.0,31711.0,2,2,1,1496.0,88.7
2012.0,270000.0,43755.0,2,2,1,814.0,55.2
2016.0,300000.0,66693.0,2,2,0,799.0,53.3
2010.0,225000.0,59549.0,2,2,0,998.0,67.1
2010.0,200000.0,73730.0,2,2,0,998.0,67.1
